"","What.is.the.name.of.your.organization.","How.many.employees.does.your.business.employ.at.the.moment.","Which.sector.best.describes.your.principle.economic.activity.","Has.your.businesses.made.e.commerce.sales.that.sell.across.borders..the.last.year.","On.average..what.percentage.of.occupational.tasks.of.employees.are.ICT.intensive.","type"
"1","Opta Innova Digital Transformation",0,"Information and communication","Yes",100,"Micro"
"2","BSM Business Smart Management",2,"Administrative and support service activities","No",90,"Micro"
"3","s&r construction",0,"Construction","No",0,"Micro"
"4","Trilogy Store Aruba",2,"Wholesale and retail trade; repair of motor vehicles and motorcycles","No",50,"Micro"
"5","SQS Consultancy & Research",0,"Administrative and support service activities","No",0,"Micro"
"6","CLIFFIX MUSICAL INSTRUMENTS N.V.",5,"Arts, entertainment and recreation","No",0,"Micro"
"7","Mind's eye NV dba Zen Designs",8,"Manufacturing","No",25,"Micro"
"8","SmartUp Aruba",0,"Information and communication","No",100,"Micro"
"9","Trilogy Aruba",2,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Yes",100,"Micro"
"10","Sanchez swimwear",1,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Yes",7,"Micro"
"11","Bodacious boutique",1,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Yes",100,"Micro"
"12","Jansen Legal Advisory",1,"Professional, scientific and technical activities ","No",0,"Micro"
"13","Podera Activewear",0,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Yes",75,"Micro"
"14","Best Cleaning",21,"Other service activities & Activities of households as employers ","No",1,"Small"
"15","Ladies Choice",2,"Wholesale and retail trade; repair of motor vehicles and motorcycles","No",77,"Micro"
"16","Island Essentials & BabyQuip Aruba",0,"Accommodation and food service activities","Yes",49,"Micro"
"17","Fundacion",2,"Education","No",95,"Micro"
"18","CASTNV",5,"Professional, scientific and technical activities ","No",80,"Micro"
"19","Global Asset Trading & Advisory Services VBA",3,"Professional, scientific and technical activities ","No",100,"Micro"
"20","anonymous",3,"Wholesale and retail trade; repair of motor vehicles and motorcycles","No",0,"Micro"
"21","D&I Reshapers VBA",1,"Information and communication","No",85,"Micro"
"22","Prestige Vacations Aruba",16,"Real estate activities","Yes",80,"Small"
"23","Bucuti & Tara Beach Resort",130,"Accommodation and food service activities","Yes",100,"Medium"
"24","Monarch CPA LLC",4,"Administrative and support service activities","No",100,"Micro"
"25","Plus Accountants",30,"Administrative and support service activities","No",29,"Small"
"26","Pepia est",34,"Wholesale and retail trade; repair of motor vehicles and motorcycles","No",30,"Small"
"27","University of Aruba",90,"Education","No",41,"Medium"
"28","-",0,"Human health and social work activities","No",75,"Micro"
"29","Hyatt",445,"Accommodation and food service activities","Yes",0,"Large"
"30","Aruba ROI Marketing",1,"Information and communication","No",80,"Micro"
"31","ALD",1,"Wholesale and retail trade; repair of motor vehicles and motorcycles","No",100,"Micro"
"32","R&T na cas Aruba",1,"Education","No",0,"Micro"
"33","-",0,"Information and communication","Yes",80,"Micro"
"34","SmartUp Aruba",0,"Information and communication","No",100,"Micro"
"35","Ot2 Agency",2,"Arts, entertainment and recreation","No",91,"Micro"
"36","Eureka",2,"Construction","No",0,"Micro"
"37","Infotrans Caribbean Aruba VBA",8,"Information and communication","No",100,"Micro"
"38","ITP Caribbean N.V.",30,"Information and communication","No",95,"Small"
"39","SPR Tech",9,"Construction","No",32,"Micro"
"40",NA,5,"Administrative and support service activities","No",87,"Micro"
"41","EC-Tech Solutions Aruba",0,"Information and communication","No",99,"Micro"
"42","297 Farm",3,"Agriculture, forestry and fishing-Mining and quarrying","No",0,"Micro"
"43","Gamma IT Solutions",14,"Information and communication","Yes",100,"Small"
"44","Aldo Travel",5,"Administrative and support service activities","No",4,"Micro"
"45","Masterpiece Tattooshop",3,"Arts, entertainment and recreation","No",20,"Micro"
"46","BCS Cargo Services",5,"Transportation and storage ","No",100,"Micro"
"47","Get Energized Massage & More",0,"Human health and social work activities","No",0,"Micro"
"48","Magic flowers & events",1,"Arts, entertainment and recreation","No",80,"Micro"
"49","Rasmijn Marketing Experience",1,"Information and communication","Yes",100,"Micro"
"50","Transition 2 Health",1,"Human health and social work activities","No",10,"Micro"
"51","Kamerlingh Villa",3,"Accommodation and food service activities","No",29,"Micro"
"52","Remax",5,"Real estate activities","No",40,"Micro"
"53","Administrative Management Consultancy",8,"Administrative and support service activities","No",100,"Micro"
"54","Optica Leslie",0,"Wholesale and retail trade; repair of motor vehicles and motorcycles","No",21,"Micro"
"55","Quero, Aroma & Arte Botanicals and More",0,"Manufacturing","No",0,"Micro"
"56","Cyndany Aruba N.V.",0,"Arts, entertainment and recreation","No",50,"Micro"
"57","Shoaya nv",1,"Wholesale and retail trade; repair of motor vehicles and motorcycles","No",25,"Micro"
"58","Eljonic Payroll & Administration Services",0,"Administrative and support service activities","Yes",0,"Micro"
"59","Archiosa Architects",4,"Professional, scientific and technical activities ","No",70,"Micro"
"60","Basari Aruba",2,"Arts, entertainment and recreation","No",0,"Micro"
"61","Kazina",0,"Financial and insurance activities ","No",100,"Micro"
"62","Aruba Insurance Broker",5,"Financial and insurance activities ","No",75,"Micro"
"63","artiflor nv",1,"Other service activities & Activities of households as employers ","No",0,"Micro"
"64","Rosie's icecream and nuts",0,"Accommodation and food service activities","No",0,"Micro"
"65","Amsterdam Manor Beach Resort",135,"Accommodation and food service activities","Yes",20,"Medium"
"66","Anim3x ITCCS",0,"Professional, scientific and technical activities ","No",100,"Micro"
"67","Ecury Solutions",1,"Transportation and storage ","No",75,"Micro"
"68","Advance HRS",2,"Administrative and support service activities","No",80,"Micro"
"69","Kwihi Real Estate Services NV",2,"Professional, scientific and technical activities ","No",70,"Micro"
"70","NV",2,"Administrative and support service activities","No",0,"Micro"
"71","Straddle It Saloon",12,"Accommodation and food service activities","No",0,"Small"
"72","Botica di Servicio, Op=Op Voordeelshop",150,"Wholesale and retail trade; repair of motor vehicles and motorcycles","No",80,"Medium"
"73","Lucky Group of Stores",40,"Wholesale and retail trade; repair of motor vehicles and motorcycles","No",0,"Small"
"74","Hendriks Company",10,"Construction","No",1,"Micro"
"75","Taste My Aruba",10,"Accommodation and food service activities","Yes",2,"Micro"
"76",".",2,"Human health and social work activities","No",100,"Micro"
"77","BlueAruba Rentals",30,"Real estate activities","Yes",70,"Small"
"78","Robert Arenz Enterprises nv",2,"Professional, scientific and technical activities ","Yes",1,"Micro"
"79","Living The Island Way Online Services",0,"Wholesale and retail trade; repair of motor vehicles and motorcycles","No",100,"Micro"
"80","Emgee Music Entertainment",2,"Arts, entertainment and recreation","No",0,"Micro"
"81","Best Biz Financial and Management Services NV",3,"Administrative and support service activities","No",100,"Micro"
"82","Home-Pro Restoration",2,"Construction","No",0,"Micro"
"83","Fast Collection & Delivery Services NV",70,"Transportation and storage ","Yes",20,"Medium"
"84","ATIA",3,"Administrative and support service activities","Yes",100,"Micro"
"85","Prefer not to mention",40,"Information and communication","No",100,"Small"
"86","n/a",5,"Professional, scientific and technical activities ","No",80,"Micro"
"87","changas y mandados",0,"Other service activities & Activities of households as employers ","No",0,"Micro"
"88","DabaruKelkboom-Plantage",1,"Agriculture, forestry and fishing-Mining and quarrying","No",0,"Micro"
"89","vidaruba",2,"Construction","No",50,"Micro"
"90","AMTR N.V.",4,"Financial and insurance activities ","No",100,"Micro"
"91","Prestige Realty",18,"Accommodation and food service activities","Yes",80,"Small"
"92","ADL QUICK FIX",0,"Electricity, gas, steam and air conditioning supply & Water supply; sewerage, waste management and remediation activities ","No",70,"Micro"
"93","Micro Support & Financial Services",1,"Financial and insurance activities ","No",20,"Micro"
"94","ImSan",300,"Human health and social work activities","No",0,"Large"
"95","Duro Entertainment & Production",15,"Arts, entertainment and recreation","No",85,"Small"
"96","Kazina Business Consultants",0,"Administrative and support service activities","No",80,"Micro"
"97","Digital Natives of Aruba Foundation",9,"Information and communication","No",100,"Micro"
"98","E.T.C. Excellence Tax Compliance Services",0,"Financial and insurance activities ","No",48,"Micro"
"99","The Bike Clinic",3,"Wholesale and retail trade; repair of motor vehicles and motorcycles","No",50,"Micro"
"100","Giannis Group",500,"Accommodation and food service activities","No",35,"Large"
"101","ECKRO NV",1,"Administrative and support service activities","No",50,"Micro"
"102","Empressand Beauty and Wellness Center",0,"Arts, entertainment and recreation","No",0,"Micro"
"103","ECN Teken- en Bouwadviesburo",1,"Construction","No",100,"Micro"
"104","Chamber of Commerce Aruba",17,"Other service activities & Activities of households as employers ","Yes",85,"Small"
"105","N/a",5,"Administrative and support service activities","No",0,"Micro"
"106","AmsterdaM Manor Beach Resort",125,"Accommodation and food service activities","Yes",50,"Medium"
"107","AMTR N.V.",4,"Administrative and support service activities","Yes",0,"Micro"
"108","Happy appys",1,"Accommodation and food service activities","No",0,"Micro"
"109","Aruba Seascape Apartments and Homes",2,"Real estate activities","Yes",100,"Micro"
"110","QCC",6,"Human health and social work activities","No",69,"Micro"
"111","Aruba Ultrasound",1,"Human health and social work activities","No",90,"Micro"
"112","Smart Contractor",4,"Other service activities & Activities of households as employers ","No",2,"Micro"
"113","Prikibos",8,"Accommodation and food service activities","No",60,"Micro"
"114","VIRG2000",0,"Administrative and support service activities","No",0,"Micro"
"115","BOPEL",50,"Wholesale and retail trade; repair of motor vehicles and motorcycles","No",0,"Small"
"116","Hendriks Company",6,"Construction","No",3,"Micro"
"117","Niski Clothing Company",0,"Wholesale and retail trade; repair of motor vehicles and motorcycles","No",100,"Micro"
"118","Caleb's Goal Potential & Purpose",0,"Education","No",1,"Micro"
"119","Chakaranda Souvenirs",0,"Manufacturing","No",70,"Micro"
"120","Holistika Labs",6,"Manufacturing","Yes",50,"Micro"
"121","Marlon Mineo Quandus Aruba Architect Studio",0,"Professional, scientific and technical activities ","Yes",0,"Micro"
"122","Cosecha Arubiano di Pedjol",1,"Agriculture, forestry and fishing-Mining and quarrying","No",0,"Micro"
"123","Aruba Administrative & Financial Services NV",2,"Administrative and support service activities","No",75,"Micro"
"124","Palais Hindu",7,"Wholesale and retail trade; repair of motor vehicles and motorcycles","No",30,"Micro"
"125","newspaper",25,"Information and communication","No",3,"Small"
"126","ABC",3,"Wholesale and retail trade; repair of motor vehicles and motorcycles","Yes",100,"Micro"
"127","Xxxx",30,"Professional, scientific and technical activities ","No",14,"Small"
"128","Antilla Energy VBA",6,"Electricity, gas, steam and air conditioning supply & Water supply; sewerage, waste management and remediation activities ","No",30,"Micro"
"129","G2BA",50,"Human health and social work activities","No",50,"Small"
"130","W-Loyal Real Estate",0,"Real estate activities","No",0,"Micro"
"131","Dejavu Gourmet and entertainment N.V. (Poke Ono/ Infini/Candy Corner)",39,"Accommodation and food service activities","No",56,"Small"
"132","ForenSys Aruba",24,"Financial and insurance activities ","Yes",100,"Small"
"133","Empresa Italo Arubano N.V.",20,"Construction","No",25,"Small"
"134","I+2GI",1,"Construction","No",53,"Micro"
